slug,entry,current,proposed,reason
richardsimmons,Richard Simmons,Richard Simmons,Richard Simmons,His full name is the recognizable form.
richardthelionhe,Richard the Lionheart,Richard the Lionheart,Richard the Lionheart,"The iconic royal title and epithet are the recognisable form, and the current display is already correct."
richardwagner,Richard Wagner,Richard Wagner,Wagner,Surname alone is the instantly recognizable form for the world-famous composer Richard Wagner.
rickmoranis,Rick Moranis,Rick Moranis,Rick Moranis,The current display is already the recognizable full name.
rickygervais,Ricky Gervais,Ricky Gervais,Ricky Gervais,"His full name is the recognizable form, and the current display is already correct."
rickymartin,Ricky Martin,Ricky Martin,Ricky Martin,"His full name is the recognisable form, and the current display is already correct."
rihanna,Rihanna,Rihanna,Rihanna,Rihanna is already the instantly recognizable name and needs no change.
ringostarr,Ringo Starr,Ringo Starr,Ringo Starr,Both the first and last name are needed for the iconic name.
ripvanwinkle,Rip Van Winkle,Rip Van Winkle,Rip Van Winkle,The full name is the recognizable form of this literary character.
robertdeniro,Robert De Niro,Robert De Niro,Robert De Niro,Both names are needed for the instantly recognizable form.
robertdowneyjr,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,"The full name is the recognizable form, and the current display is already correct."
robertoppenheime,Robert Oppenheimer,Robert Oppenheimer,Oppenheimer,"Surname alone is the iconic, instantly recognizable form."
robertplant,Robert Plant,Robert Plant,Robert Plant,Both first and last name are needed to identify the famous musician.
robertsmith,Robert Smith,Robert Smith,Robert Smith,Both first and last names are needed to identify the musician.
robespierre,Robespierre,Robespierre,Robespierre,Robespierre is already the instantly recognizable surname and requires no change.
robford,Rob Ford,Rob Ford,Rob Ford,Both first and last names are needed to identify him; the current display is already correct.
robgronkowski,Rob Gronkowski,Rob Gronkowski,Gronkowski,His surname is the instantly recognizable form for this famous football player.
robinhood,Robin Hood,Robin Hood,Robin Hood,"The current display is already the natural, instantly recognisable name."
robinsoncrusoe,Robinson Crusoe,Robinson Crusoe,Robinson Crusoe,The full name is the instantly recognizable form of this literary character.
robinwilliams,Robin Williams,Robin Williams,Robin Williams,Both first and last names are needed for this famous person; the current display is already correct.
robzombie,Rob Zombie,Rob Zombie,Rob Zombie,His established professional name is already the shortest instantly recognizable form.
rockymarciano,Rocky Marciano,Rocky Marciano,Rocky Marciano,Both first and last names are needed to identify the famous boxer.
rodneydangerfiel,Rodney Dangerfield,Rodney Dangerfield,Rodney Dangerfield,Both first and last name are needed to identify the famous comedian.
rogerfederer,Roger Federer,Roger Federer,Roger Federer,Both first and last name are needed for the instantly recognizable full name.
rohansahai,Rohan Sahai,Rohan Sahai,Rohan Sahai,No descriptive qualifier or more widely recognized shorter form is provided; retain the current display.
romanreigns,Roman Reigns,Roman Reigns,Roman Reigns,Already the recognizable in-game name; both first and surname are needed.
romeomontague,Romeo Montague,Romeo Montague,Romeo Montague,Both names are needed to identify Shakespeare’s character.
ronaldinho,Ronaldinho,Ronaldinho,Ronaldinho,The current display is already the iconic name by which he is instantly recognized.
ronaldreagan,Ronald Reagan,Ronald Reagan,Ronald Reagan,Both first and last names are needed to identify him naturally.
rondarousey,Ronda Rousey,Ronda Rousey,Ronda Rousey,"Her full name is the recognizable form, and the current display is already correct."
ronniecoleman,Ronnie Coleman,Ronnie Coleman,Ronnie Coleman,"His full name is the recognizable form, and the current display is already correct."
rosietheriveter,Rosie the Riveter,Rosie the Riveter,Rosie the Riveter,This is her iconic full name and should remain unchanged.
rowanatkinson,Rowan Atkinson,Rowan Atkinson,Rowan Atkinson,Both first and last names are needed to recognize the famous comedian.
rowdyroddypiper,Rowdy Roddy Piper,Rowdy Roddy Piper,Rowdy Roddy Piper,Already the fighter’s iconic full ring name; no shortening is needed.
roycegracie,Royce Gracie,Royce Gracie,Royce Gracie,The fighter is identified by his full name; neither “Royce” nor “Gracie” alone is the standard instantly recognizable form.
rumpelstiltskin,Rumpelstiltskin,Rumpelstiltskin,Rumpelstiltskin,The current display is already the character’s instantly recognizable name.
rupaul,RuPaul,RuPaul,RuPaul,The current display is already the recognizable name.
ruudgullit,Ruud Gullit,Ruud Gullit,Ruud Gullit,Both names are needed to identify the famous footballer.
ryanreynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Both first and last names are needed for the actor’s instantly recognizable full name.
rza,RZA,RZA,RZA,RZA is the artist’s established stage name and the current display is already correct.
sachabaroncohen,Sacha Baron Cohen,Sacha Baron Cohen,Sacha Baron Cohen,"His full name is the recognizable form, and the current display is already correct."
sachintendulkar,Sachin Tendulkar,Sachin Tendulkar,Sachin Tendulkar,His full name is the recognizable form.
saddamhussein,Saddam Hussein,Saddam Hussein,Saddam Hussein,Both names are needed for immediate recognition; the current display is already correct.
saintpatrick,Saint Patrick,Saint Patrick,Saint Patrick,The current display is already the recognizable iconic name.
saladin,Saladin,Saladin,Saladin,The current display is already the iconic name by which Saladin is recognized.
saltbae,Salt Bae,Salt Bae,Salt Bae,Already the recognisable name and requires no change.
salvadordal,Salvador Dalí,Salvador Dalí,Dalí,Surname alone is the instantly recognizable form for Salvador Dalí.
samaltman,Sam Altman,Sam Altman,Sam Altman,Both first and last names are needed to identify him naturally.
sambankmanfried,Sam Bankman-Fried,Sam Bankman-Fried,Sam Bankman-Fried,His full name is the recognizable form; no established shorter name or title applies.
samkinison,Sam Kinison,Sam Kinison,Sam Kinison,The current display is already the recognizable full name.
sammohung,Sammo Hung,Sammo Hung,Sammo Hung,"The current display is already the natural, recognisable full name."
sammydavisjr,Sammy Davis Jr.,Sammy Davis Jr.,Sammy Davis Jr.,The current display is already the recognizable full name.
samuelljackson,Samuel L. Jackson,Samuel L. Jackson,Samuel L. Jackson,"His full name is the recognizable form, and the current display is already correct."
sanchopanza,Sancho Panza,Sancho Panza,Sancho Panza,Both names are needed to identify the character.
santaclaus,Santa Claus,Santa Claus,Santa Claus,"The current display is already the iconic, instantly recognizable name."
sarahpalin,Sarah Palin,Sarah Palin,Sarah Palin,"Her full name is the recognizable form, and the current display is already correct."
satoruiwata,Satoru Iwata,Satoru Iwata,Satoru Iwata,Both names are needed to identify him; the current display is already right.
scheherazade,Scheherazade,Scheherazade,Scheherazade,The current display is already the recognizable name.
scrapper,Scrapper,Scrapper,Scrapper,The current display is already the fighter’s recognizable name.
seanconnery,Sean Connery,Sean Connery,Sean Connery,Both names are needed to instantly identify the famous actor.
serenawilliams,Serena Williams,Serena Williams,Serena Williams,The current display is already the fighter’s recognizable full name.
sethrogen,Seth Rogen,Seth Rogen,Seth Rogen,The current display is already the recognizable full name.
sethrollins,Seth Rollins,Seth Rollins,Seth Rollins,The current display is already the fighter's recognizable full name.
shacarririchards,Sha'Carri Richardson,Sha'Carri Richardson,Sha'Carri Richardson,"Her full name is the recognizable form, and the current display is already correct."
shahrukhkhan,Shah Rukh Khan,Shah Rukh Khan,Shah Rukh Khan,His full name is the instantly recognizable form; neither given name nor surname alone is sufficient.
shakazulu,Shaka Zulu,Shaka Zulu,Shaka Zulu,Both names are needed to identify the famous historical warrior.
shakira,Shakira,Shakira,Shakira,Her iconic stage name is already the correct announcer name.
shanewarne,Shane Warne,Shane Warne,Shane Warne,"His full name is the recognizable form, and the current display is already correct."
shaniatwain,Shania Twain,Shania Twain,Shania Twain,"Her full name is the recognizable form, and the current display is already correct."
shaquilleoneal,Shaquille O'Neal,Shaquille O'Neal,Shaquille O'Neal,His full name is the instantly recognizable form.
shaunwhite,Shaun White,Shaun White,Shaun White,"His full name is the recognizable form, and the current display is already correct."
shawnmichaels,Shawn Michaels,Shawn Michaels,Shawn Michaels,His full name is the recognizable form used for the announcer call.
sherlockholmes,Sherlock Holmes,Sherlock Holmes,Sherlock Holmes,The full name is the iconic form and is already correctly displayed.
shigerumiyamoto,Shigeru Miyamoto,Shigeru Miyamoto,Shigeru Miyamoto,Both first and last names are needed to clearly identify the famous game designer.
shinsukenakamura,Shinsuke Nakamura,Shinsuke Nakamura,Shinsuke Nakamura,The current display is already the fighter's recognizable full name.
shirleytemple,Shirley Temple,Shirley Temple,Shirley Temple,Her full name is the instantly recognizable form.
shoheiohtani,Shohei Ohtani,Shohei Ohtani,Shohei Ohtani,"His full name is the natural, instantly recognizable form."
shylock,Shylock,Shylock,Shylock,The current display is already the recognizable name of the character.
sidvicious,Sid Vicious,Sid Vicious,Sid Vicious,The current display is already the fighter’s recognizable name.
sigmundfreud,Sigmund Freud,Sigmund Freud,Freud,His surname alone is the instantly recognisable form.
simonebiles,Simone Biles,Simone Biles,Simone Biles,Both first and last names are needed to identify her naturally.
sinbadthesailor,Sinbad the Sailor,Sinbad the Sailor,Sinbad,Strips the descriptive epithet “the Sailor”; Sinbad is the instantly recognizable name.
siouxsiesioux,Siouxsie Sioux,Siouxsie Sioux,Siouxsie,Siouxsie is the instantly recognizable stage name; “Sioux” is her surname but not the form most associated with her.
sirmixalot,Sir Mix-a-Lot,Sir Mix-a-Lot,Sir Mix-a-Lot,The current display is already the fighter's recognizable stage name.
sittingbull,Sitting Bull,Sitting Bull,Sitting Bull,"Already the natural, instantly recognizable name; no shortening or title adjustment is needed."
skrillex,Skrillex,Skrillex,Skrillex,"Skrillex is the artist’s instantly recognizable stage name, so the current display is already correct."
slash,Slash,Slash,Slash,Slash is the guitarist’s iconic stage name and the current display is already correct.
snooki,Snooki,Snooki,Snooki,"Her established public and stage name is simply “Snooki,” which is already the current display."
snoopdogg,Snoop Dogg,Snoop Dogg,Snoop Dogg,"The current display is already the iconic, recognisable name."
socrates,Socrates,Socrates,Socrates,The current display is already the recognizable name.
sonnychiba,Sonny Chiba,Sonny Chiba,Sonny Chiba,The current display is already the fighter’s recognizable full name.
spartacus,Spartacus,Spartacus,Spartacus,The current display already uses Spartacus’s instantly recognizable name.
spikelee,Spike Lee,Spike Lee,Spike Lee,Both names are needed to identify the famous filmmaker.
stanlaurel,Stan Laurel,Stan Laurel,Stan Laurel,Both name halves are needed to identify the famous comedy performer.
stanlee,Stan Lee,Stan Lee,Stan Lee,"The current display is already the natural, instantly recognizable name."
stanleykubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Both first and last names are needed to identify the famous filmmaker.
stephenchow,Stephen Chow,Stephen Chow,Stephen Chow,"His full name is the recognizable form, and the current display is already correct."
stephencolbert,Stephen Colbert,Stephen Colbert,Stephen Colbert,"His full name is the instantly recognizable form, and the current display is already correct."
stephencurry,Stephen Curry,Stephen Curry,Stephen Curry,Both first and last names are needed to identify him by his full famous name.
stephenhawking,Stephen Hawking,Stephen Hawking,Hawking,Surname alone is the instantly recognizable form for Stephen Hawking.
stephenking,Stephen King,Stephen King,Stephen King,"The current display is already the natural, instantly recognizable full name."
stephenwolfram,Stephen Wolfram,Stephen Wolfram,Stephen Wolfram,Both names are needed to identify him; the current display is already correct.
steveaoki,Steve Aoki,Steve Aoki,Steve Aoki,Steve Aoki is the recognisable full name and the current display is already correct.
steveballmer,Steve Ballmer,Steve Ballmer,Steve Ballmer,"His full name is the recognizable form, and the current display is already correct."
stevebuscemi,Steve Buscemi,Steve Buscemi,Steve Buscemi,The current display is already the recognizable full name.
steveharvey,Steve Harvey,Steve Harvey,Steve Harvey,"His full name is the recognizable form, and the current display is already correct."
steveirwin,Steve Irwin,Steve Irwin,Steve Irwin,Both names are needed for the instantly recognizable form.
stevejobs,Steve Jobs,Steve Jobs,Steve Jobs,Both first and last names are needed for the instantly recognizable form.
stevemartin,Steve Martin,Steve Martin,Steve Martin,The current display is already the recognizable full name.
stevenseagal,Steven Seagal,Steven Seagal,Steven Seagal,Both first and last name are needed for recognition; the current display is already correct.
stevenspielberg,Steven Spielberg,Steven Spielberg,Steven Spielberg,Both first and last names are needed for recognition; the current display is already correct.
steventyler,Steven Tyler,Steven Tyler,Steven Tyler,Both first and last name are needed to identify the famous rock frontman.
stevewozniak,Steve Wozniak,Steve Wozniak,Steve Wozniak,Both first and last names are needed for instant recognition.
stevienicks,Stevie Nicks,Stevie Nicks,Stevie Nicks,Her recognizable in-game name is already correctly displayed as her full famous name.
steviewonder,Stevie Wonder,Stevie Wonder,Stevie Wonder,Both names are needed for the instantly recognizable public name.
stonecoldsteveau,Stone Cold Steve Austin,Stone Cold Steve Austin,Stone Cold Steve Austin,His iconic wrestling persona is conventionally announced and recognized by the full ring name.
suleimanthemagni,Suleiman the Magnificent,Suleiman the Magnificent,Suleiman,The epithet “the Magnificent” is a descriptive qualifier; the recognisable name is Suleiman.
suntzu,Sun Tzu,Sun Tzu,Sun Tzu,The current display is already the fighter’s widely recognized full name.
sunwukongthemonk,Sun Wukong the Monkey King,Sun Wukong the Monkey King,Sun Wukong,Strips the descriptive title “the Monkey King”; Sun Wukong is the recognizable name.
sylvesterstallon,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Both first and last names are needed for recognition.
takerukobayashi,Takeru Kobayashi,Takeru Kobayashi,Kobayashi,He is widely recognized by the surname Kobayashi alone.
tarzan,Tarzan,Tarzan,Tarzan,"Already the iconic, instantly recognizable name."
taylorswift,Taylor Swift,Taylor Swift,Taylor Swift,The current display is already the correct full name.
tengu,Tengu,Tengu,Tengu,The current display is already the recognizable name of the fighter.
terencetao,Terence Tao,Terence Tao,Terence Tao,"Surname alone is the iconic, instantly recognisable form for the world-famous mathematician Terence Tao."
terracottawarrio,Terracotta Warrior,Terracotta Warrior,Terracotta Warrior,Already the recognizable name of the fighter.
terrybradshaw,Terry Bradshaw,Terry Bradshaw,Terry Bradshaw,Both first and last names are needed for the recognizable full name.
theamericangothi,The American Gothic Farmer,The American Gothic Farmer,The American Gothic Farmer,Already the correct recognizable in-game name.
thebigbadwolf,The Big Bad Wolf,The Big Bad Wolf,Big Bad Wolf,Removes the leading article while preserving the character's instantly recognizable name.
theboogeyman,The Boogeyman,The Boogeyman,The Boogeyman,Already the recognizable full name; retain the article and title.
thecheshirecat,The Cheshire Cat,The Cheshire Cat,Cheshire Cat,Removes the leading article while preserving the character’s instantly recognizable name.
thechupacabra,The Chupacabra,The Chupacabra,Chupacabra,The descriptive article “The” is stripped; “Chupacabra” is the instantly recognizable name.
thecountofmontec,The Count of Monte Cristo,The Count of Monte Cristo,The Count of Monte Cristo,This is the character’s iconic full name and is already correctly displayed.
thecowardlylion,The Cowardly Lion,The Cowardly Lion,The Cowardly Lion,"The title is the character’s iconic, instantly recognizable name and should remain unchanged."
thediscusthrower,The Discus Thrower,The Discus Thrower,The Discus Thrower,This is the established name of the depicted statue and is already the correct iconic form.
theeasterbunny,The Easter Bunny,The Easter Bunny,The Easter Bunny,The current display is already the instantly recognisable name.
theflyingdutchma,The Flying Dutchman,The Flying Dutchman,The Flying Dutchman,"The current display is already the fighter's iconic, instantly recognisable name."
thegolemofprague,The Golem of Prague,The Golem of Prague,Golem,"The iconic, instantly recognizable form is “Golem”; “of Prague” is a descriptive qualifier."
thegrimreaper,The Grim Reaper,The Grim Reaper,The Grim Reaper,The current display is already the iconic name and should remain unchanged.
theheadlesshorse,The Headless Horseman,The Headless Horseman,The Headless Horseman,"This is the character’s established iconic name, so the current display is already right."
theinvisibleman,The Invisible Man,The Invisible Man,The Invisible Man,"The current display is already the character’s iconic, instantly recognisable name."
thejerseydevil,The Jersey Devil,The Jersey Devil,The Jersey Devil,Already the recognisable in-game name; the full legendary name should be retained.
thelochnessmonst,The Loch Ness Monster,The Loch Ness Monster,Nessie,"The Loch Ness Monster is most instantly recognized by its famous name, Nessie."
themadhatter,The Mad Hatter,The Mad Hatter,The Mad Hatter,"The current display is already the character’s iconic, instantly recognizable name."
theminotaur,The Minotaur,The Minotaur,Minotaur,The descriptive article “The” is unnecessary; Minotaur is the instantly recognizable name.
theodoreroosevel,Theodore Roosevelt,Theodore Roosevelt,Theodore Roosevelt,Full name is the recognizable form for this historical figure.
thephantomoftheo,The Phantom of the Opera,The Phantom of the Opera,The Phantom of the Opera,"This is the character’s iconic, instantly recognizable name and is already correctly displayed."
thepiedpiper,The Pied Piper,The Pied Piper,The Pied Piper,"This is the character’s iconic, instantly recognizable name and is already correctly displayed."
thequeenofhearts,The Queen of Hearts,The Queen of Hearts,Queen of Hearts,The iconic character name is best recognized without the leading article.
thescarecrow,The Scarecrow,The Scarecrow,Scarecrow,The iconic character is recognized by the name Scarecrow; the leading article is descriptive and omitted.
thescream,The Scream,The Scream,The Scream,The current display is already the iconic name of the figure/artwork.
thesphinx,The Sphinx,The Sphinx,The Sphinx,"Already the natural, instantly recognizable name; the article is part of the iconic name."
thestatueofliber,The Statue of Liberty,The Statue of Liberty,The Statue of Liberty,The current display is already the iconic name and should remain unchanged.
thethinker,The Thinker,The Thinker,The Thinker,The current display is already the iconic name of the sculpture and should remain unchanged.
thetinman,The Tin Man,The Tin Man,Tin Man,The iconic character name is naturally shouted without the leading article.
thetoothfairy,The Tooth Fairy,The Tooth Fairy,The Tooth Fairy,The current display is already the character’s instantly recognizable name.
theundertaker,The Undertaker,The Undertaker,The Undertaker,"The current display is already the fighter’s iconic, instantly recognizable ring name."
theweeknd,The Weeknd,The Weeknd,The Weeknd,The Weeknd is his iconic stage name and the current display is already correct.
thewickedwitchof,The Wicked Witch of the West,The Wicked Witch of the West,Wicked Witch,"The iconic character is most naturally recognized by the shortened name “Wicked Witch,” with the directional qualifier removed."
thewingedvictory,The Winged Victory of Samothrace,The Winged Victory of Samothrace,The Winged Victory of Samothrace,This is the sculpture’s established name and is already the clearest instantly recognizable form.
theyeti,The Yeti,The Yeti,The Yeti,The current display is already the instantly recognisable name and should remain unchanged.
thomasedison,Thomas Edison,Thomas Edison,Edison,"Thomas Edison is world-famous by his surname, so the announcer should use the shortest instantly recognizable form."
thorthenorsegod,Thor the Norse God,Thor the Norse God,Thor,Strips the descriptive epithet “the Norse God”; Thor is the instantly recognizable name.
tigerwoods,Tiger Woods,Tiger Woods,Tiger Woods,The current display is already the fighter’s iconic full name.
tigger,Tigger,Tigger,Tigger,The current display is already the character’s instantly recognisable name.
tildaswinton,Tilda Swinton,Tilda Swinton,Tilda Swinton,"Her full name is the recognisable form, and the current display is already correct."
timallen,Tim Allen,Tim Allen,Tim Allen,"His full name is the recognisable form, and the current display is already correct."
timburton,Tim Burton,Tim Burton,Tim Burton,Both names are needed to instantly identify the filmmaker.
timothechalamet,Timothée Chalamet,Timothée Chalamet,Timothée Chalamet,Both first and last names are needed for instant recognition; the current display is already correct.
tinaturner,Tina Turner,Tina Turner,Tina Turner,The current display is already the iconic full name.
tinetine,Tinetine,Tinetine,Tinetine,The current display is already the fighter’s recognizable name.
tintin,Tintin,Tintin,Tintin,"The current display is already the iconic, instantly recognizable name."
tisto,Tiësto,Tiësto,Tiësto,His established stage name is the instantly recognizable form.
tobykeith,Toby Keith,Toby Keith,Toby Keith,"His full name is the recognizable form, and the current display is already correct."
toddhoward,Todd Howard,Todd Howard,Todd Howard,"His full name is the recognizable form, and the current display is already correct."
tombrady,Tom Brady,Tom Brady,Tom Brady,Both first and last names are needed for the instantly recognizable name.
tomcruise,Tom Cruise,Tom Cruise,Tom Cruise,"The current display is already the natural, instantly recognizable full name."
tomhardy,Tom Hardy,Tom Hardy,Tom Hardy,His full name is the recognizable form.
tomjones,Tom Jones,Tom Jones,Tom Jones,Both names are needed to identify the famous singer.
tommychong,Tommy Chong,Tommy Chong,Tommy Chong,The current display is already the recognizable full name.
tomsawyer,Tom Sawyer,Tom Sawyer,Tom Sawyer,Both first and last names are needed for the character’s instantly recognizable form.
tomselleck,Tom Selleck,Tom Selleck,Tom Selleck,"His full name is the recognizable form, and the current display is already correct."
tonyaharding,Tonya Harding,Tonya Harding,Tonya Harding,"Her full name is the recognisable form, and the current display is already correct."
tonyhawk,Tony Hawk,Tony Hawk,Tony Hawk,Already the correct recognizable full name.
tonyjaa,Tony Jaa,Tony Jaa,Tony Jaa,Tony Jaa is the recognizable full name and the current display is already correct.
toshiromifune,Toshiro Mifune,Toshiro Mifune,Toshiro Mifune,Both names are needed to identify the famous actor.
tracymorgan,Tracy Morgan,Tracy Morgan,Tracy Morgan,The current display is already the natural full name the crowd would recognize.
traviskelce,Travis Kelce,Travis Kelce,Travis Kelce,The current display is already the recognizable full name.
travisscott,Travis Scott,Travis Scott,Travis Scott,"His full stage name is the recognizable form, and the current display is already correct."
trentreznor,Trent Reznor,Trent Reznor,Trent Reznor,Both names are needed to identify the musician; the current display is already right.
tripleh,Triple H,Triple H,Triple H,The current display is already the fighter’s iconic ring name.
troypolamalu,Troy Polamalu,Troy Polamalu,Troy Polamalu,Both first and last name are needed to identify this famous athlete.
tupacshakur,Tupac Shakur,Tupac Shakur,Tupac,Tupac is the instantly recognizable stage name.
tutankhamun,Tutankhamun,Tutankhamun,Tutankhamun,The current display is already the recognizable name.
twiggy,Twiggy,Twiggy,Twiggy,"Twiggy is her iconic, instantly recognizable single-name form, and the current display is already correct."
tychobrahe,Tycho Brahe,Tycho Brahe,Tycho Brahe,Both names are needed to identify the famous astronomer.
tylercowen,Tyler Cowen,Tyler Cowen,Tyler Cowen,"His full name is the recognizable form, and the current display is already correct."
tylerninjablevin,Tyler Ninja Blevins,Tyler Ninja Blevins,Ninja,His famous gaming persona and instantly recognizable form is the stage name “Ninja.”
tylerthecreator,Tyler the Creator,"Tyler, the Creator","Tyler, the Creator",This is his established professional stage name and should retain its natural punctuation.
tyrabanks,Tyra Banks,Tyra Banks,Tyra Banks,"Her full name is already the natural, recognizable in-game form."
tysonfury,Tyson Fury,Tyson Fury,Tyson Fury,"His full name is the recognizable form, and the current display is already correct."
ultimatewarrior,Ultimate Warrior,Ultimate Warrior,Ultimate Warrior,The current display is already the fighter’s iconic stage name.
ulyssessgrant,Ulysses S. Grant,Ulysses S. Grant,Grant,Surname alone is the instantly recognizable form for Ulysses S. Grant.
umathurman,Uma Thurman,Uma Thurman,Uma Thurman,The current display is already the appropriate full famous name.
unclesam,Uncle Sam,Uncle Sam,Uncle Sam,"The current display is already the iconic, instantly recognizable name."
usainbolt,Usain Bolt,Usain Bolt,Usain Bolt,Both names are needed for the instantly recognizable full name.
valentinorossi,Valentino Rossi,Valentino Rossi,Valentino Rossi,Both first and last names are needed to identify the famous motorcycle racer.
valkyrie,Valkyrie,Valkyrie,Valkyrie,The current display is already the recognizable name.
vanhelsing,Van Helsing,Van Helsing,Van Helsing,The current display is already the character’s recognizable full name.
vanillaice,Vanilla Ice,Vanilla Ice,Vanilla Ice,The current display is already the fighter’s recognizable stage name.
venusdemilo,Venus de Milo,Venus de Milo,Venus de Milo,The current display is already the iconic name of the statue.
victorfrankenste,Victor Frankenstein,Victor Frankenstein,Victor Frankenstein,Both the first and surname are needed to clearly identify the character.
victorwembanyama,Victor Wembanyama,Victor Wembanyama,Victor Wembanyama,Both names are needed to clearly identify the basketball player; the current display is already correct.
vincelombardi,Vince Lombardi,Vince Lombardi,Lombardi,He is world-famous by his surname alone.
vincentvangogh,Vincent van Gogh,Vincent van Gogh,Van Gogh,The surname is the instantly recognizable form for Vincent van Gogh.
vindiesel,Vin Diesel,Vin Diesel,Vin Diesel,The current display is already the fighter’s recognizable full name.
viratkohli,Virat Kohli,Virat Kohli,Virat Kohli,"His full name is the instantly recognizable form, and the current display is already correct."
vitruvianman,Vitruvian Man,Vitruvian Man,Vitruvian Man,The current display is already the iconic name of the figure.
viviennewestwood,Vivienne Westwood,Vivienne Westwood,Vivienne Westwood,"Her full name is the recognizable form, and the current display is already correct."
vladimirlenin,Vladimir Lenin,Vladimir Lenin,Lenin,Surname alone is the instantly recognizable form for Vladimir Lenin.
vladimirputin,Vladimir Putin,Vladimir Putin,Putin,Surname alone is the instantly recognizable form.
vladtheimpaler,Vlad the Impaler,Vlad the Impaler,Vlad the Impaler,The famous form is Vlad; “the Impaler” is a descriptive epithet.
waltdisney,Walt Disney,Walt Disney,Walt Disney,"Both names are needed for instant recognition, and the current display is already correct."
warrenbuffett,Warren Buffett,Warren Buffett,Warren Buffett,Both first and last names are needed for his instantly recognizable full name.
warwickdavis,Warwick Davis,Warwick Davis,Warwick Davis,Both names are needed to identify the actor; the current display is already correct.
waylonjennings,Waylon Jennings,Waylon Jennings,Waylon Jennings,Both names are needed to identify the famous country musician; the current display is already correct.
waynegretzky,Wayne Gretzky,Wayne Gretzky,Gretzky,Wayne Gretzky is world-famous by his surname alone.
waynenewton,Wayne Newton,Wayne Newton,Wayne Newton,Both first and last names are needed to identify the famous singer.
waynerooney,Wayne Rooney,Wayne Rooney,Wayne Rooney,Both first and last name are needed for instant recognition.
weirdalyankovic,Weird Al Yankovic,Weird Al Yankovic,Weird Al,This is the instantly recognizable stage-name form of Weird Al Yankovic.
wernerherzog,Werner Herzog,Werner Herzog,Werner Herzog,Both names are needed to identify the famous filmmaker.
wesanderson,Wes Anderson,Wes Anderson,Wes Anderson,Both first and last name are needed to identify the filmmaker.
whistlersmother,Whistler's Mother,Whistler's Mother,Whistler's Mother,"This is the iconic name by which the subject is universally recognized, so the current display is already right."
whoopigoldberg,Whoopi Goldberg,Whoopi Goldberg,Whoopi Goldberg,The current display is already the recognizable full name.
willemdafoe,Willem Dafoe,Willem Dafoe,Willem Dafoe,"His full name is the recognizable form, and the current display is already correct."
willferrell,Will Ferrell,Will Ferrell,Will Ferrell,The current display is already the recognizable full name.
williamshakespea,William Shakespeare,William Shakespeare,Shakespeare,Surname alone is the instantly recognizable form.
williamshatner,William Shatner,William Shatner,William Shatner,Both first and last names are needed for the recognisable full name.
williamtell,William Tell,William Tell,William Tell,Both names are needed to identify the famous folk hero.
williamwallace,William Wallace,William Wallace,William Wallace,Both first and last name are needed for instant recognition; the current display is already correct.
willienelson,Willie Nelson,Willie Nelson,Willie Nelson,Both first and last names are needed to identify the famous musician.
willsmith,Will Smith,Will Smith,Will Smith,Both first and last names are needed for the instantly recognizable full name.
wiltchamberlain,Wilt Chamberlain,Wilt Chamberlain,Wilt Chamberlain,His full name is the recognizable form and the current display is already correct.
winniethepooh,Winnie the Pooh,Winnie the Pooh,Winnie the Pooh,"Already the correct, instantly recognizable character name."
winstonchurchill,Winston Churchill,Winston Churchill,Churchill,Winston Churchill is world-famous by his surname alone.
wolfgangamadeusm,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Mozart,Mozart is the world-famous surname and the shortest instantly recognizable form.
wuzetian,Wu Zetian,Wu Zetian,Wu Zetian,"Her full name is the natural, instantly recognizable form for the empress; the current display is already correct."
wyattearp,Wyatt Earp,Wyatt Earp,Wyatt Earp,"Both names are needed to identify the famous lawman, and the current display is already correct."
xerxes,Xerxes,Xerxes,Xerxes,The current display is already the recognizable name of the ancient Persian king.
xijinping,Xi Jinping,Xi Jinping,Xi Jinping,The current display is already the natural full name and should remain unchanged.
yannlecun,Yann LeCun,Yann LeCun,Yann LeCun,His full name is the natural recognizable form; neither “Yann” nor “LeCun” alone is sufficient.
yaoming,Yao Ming,Yao Ming,Yao Ming,His full name is the instantly recognizable form.
yasuke,Yasuke,Yasuke,Yasuke,Yasuke is already the recognizable name and needs no change.
yayoikusama,Yayoi Kusama,Yayoi Kusama,Yayoi Kusama,Both names are needed to identify the famous artist.
yogiberra,Yogi Berra,Yogi Berra,Yogi Berra,His full name is the instantly recognizable form; the current display is already correct.
yokoono,Yoko Ono,Yoko Ono,Yoko Ono,The full name is the recognizable form and the current display is already correct.
yoshuabengio,Yoshua Bengio,Yoshua Bengio,Yoshua Bengio,His full name is the natural recognizable form; neither name alone is sufficient.
yoyoma,Yo-Yo Ma,Yo-Yo Ma,Yo-Yo Ma,The current display is already the recognizable name of the cellist.
yurigagarin,Yuri Gagarin,Yuri Gagarin,Gagarin,Yuri Gagarin is world-famous by his surname alone.
zachgalifianakis,Zach Galifianakis,Zach Galifianakis,Zach Galifianakis,"His full name is the recognizable form, and the current display is already correct."
zendaya,Zendaya,Zendaya,Zendaya,"Her established famous form is the single name “Zendaya,” and the current display is already correct."
